tactic,rule_name,title,rule_id,status,level,path,tags,techniques
defense-evasion,proc_creation_win_susp_shell_spawn_susp_program,Windows Shell/Scripting Processes Spawning Suspicious Programs,3a6586ad-127a-4d3b-a677-1e6eacdf8fde,test,high,rules/proc_creation_win_susp_shell_spawn_susp_program.yml,attack.defense-evasion; attack.execution; attack.t1059.001; attack.t1059.005; attack.t1218,attack.t1059.001; attack.t1059.005; attack.t1218
defense-evasion,proc_creation_win_susp_sysnative,Process Creation Using Sysnative Folder,3c1b5fb0-c72f-45ba-abd1-4d4c353144ab,test,medium,rules/proc_creation_win_susp_sysnative.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1055,attack.t1055
defense-evasion,proc_creation_win_susp_task_folder_evasion,Tasks Folder Evasion,cc4e02ba-9c06-48e2-b09e-2500cace9ae0,test,high,rules/proc_creation_win_susp_task_folder_evasion.yml,attack.defense-evasion; attack.execution; attack.persistence; attack.t1574.001,attack.t1574.001
defense-evasion,proc_creation_win_susp_userinit_child,Suspicious Userinit Child Process,b655a06a-31c0-477a-95c2-3726b83d649d,test,medium,rules/proc_creation_win_susp_userinit_child.yml,attack.defense-evasion; attack.t1055,attack.t1055
defense-evasion,proc_creation_win_susp_velociraptor_child_process,Suspicious Velociraptor Child Process,4bc90587-e6ca-4b41-be0b-ed4d04e4ed0c,experimental,high,rules/proc_creation_win_susp_velociraptor_child_process.yml,attack.defense-evasion; attack.persistence; attack.t1219,attack.t1219
defense-evasion,proc_creation_win_susp_weak_or_abused_passwords,Weak or Abused Passwords In CLI,91edcfb1-2529-4ac2-9ecc-7617f895c7e4,test,medium,rules/proc_creation_win_susp_weak_or_abused_passwords.yml,attack.defense-evasion; attack.execution,
defense-evasion,proc_creation_win_svchost_execution_with_no_cli_flags,Suspect Svchost Activity,16c37b52-b141-42a5-a3ea-bbe098444397,test,high,rules/proc_creation_win_svchost_execution_with_no_cli_flags.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1055,attack.t1055
defense-evasion,proc_creation_win_sysinternals_livekd_kernel_memory_dump,Kernel Memory Dump Via LiveKD,c7746f1c-47d3-43d6-8c45-cd1e54b6b0a2,test,high,rules/proc_creation_win_sysinternals_livekd_kernel_memory_dump.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_sysinternals_procdump_evasion,Potential SysInternals ProcDump Evasion,79b06761-465f-4f88-9ef2-150e24d3d737,test,high,rules/proc_creation_win_sysinternals_procdump_evasion.yml,attack.credential-access; attack.defense-evasion; attack.t1003.001; attack.t1036,attack.t1003.001; attack.t1036
defense-evasion,proc_creation_win_sysinternals_procdump_lsass,Potential LSASS Process Dump Via Procdump,5afee48e-67dd-4e03-a783-f74259dcf998,stable,high,rules/proc_creation_win_sysinternals_procdump_lsass.yml,attack.credential-access; attack.defense-evasion; attack.t1003.001; attack.t1036; car.2013-05-009,attack.t1003.001; attack.t1036
defense-evasion,proc_creation_win_sysinternals_pssuspend_susp_execution,Sysinternals PsSuspend Suspicious Execution,4beb6ae0-f85b-41e2-8f18-8668abc8af78,test,high,rules/proc_creation_win_sysinternals_pssuspend_susp_execution.yml,attack.defense-evasion; attack.t1562.001,attack.t1562.001
defense-evasion,proc_creation_win_systemsettingsadminflows_turn_on_dev_features,Potential Signing Bypass Via Windows Developer Features,a383dec4-deec-4e6e-913b-ed9249670848,test,high,rules/proc_creation_win_systemsettingsadminflows_turn_on_dev_features.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_takeown_recursive_own,Suspicious Recursive Takeown,554601fb-9b71-4bcc-abf4-21a611be4fde,test,medium,rules/proc_creation_win_takeown_recursive_own.yml,attack.defense-evasion; attack.t1222.001,attack.t1222.001
defense-evasion,proc_creation_win_taskkill_sep,Taskkill Symantec Endpoint Protection,4a6713f6-3331-11ed-a261-0242ac120002,test,high,rules/proc_creation_win_taskkill_sep.yml,attack.defense-evasion; attack.t1562.001,attack.t1562.001
defense-evasion,proc_creation_win_uac_bypass_cleanmgr,UAC Bypass Using Disk Cleanup,b697e69c-746f-4a86-9f59-7bfff8eab881,test,high,rules/proc_creation_win_uac_bypass_cleanmgr.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1548.002,attack.t1548.002
defense-evasion,proc_creation_win_uac_bypass_cmstp,Bypass UAC via CMSTP,e66779cc-383e-4224-a3a4-267eeb585c40,test,high,rules/proc_creation_win_uac_bypass_cmstp.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1218.003; attack.t1548.002,attack.t1218.003; attack.t1548.002
defense-evasion,proc_creation_win_uac_bypass_eventvwr_recentviews,UAC Bypass Using Event Viewer RecentViews,30fc8de7-d833-40c4-96b6-28319fbc4f6c,test,high,rules/proc_creation_win_uac_bypass_eventvwr_recentviews.yml,attack.defense-evasion; attack.privilege-escalation,
defense-evasion,proc_creation_win_uac_bypass_msconfig_gui,UAC Bypass Using MSConfig Token Modification - Process,ad92e3f9-7eb6-460e-96b1-582b0ccbb980,test,high,rules/proc_creation_win_uac_bypass_msconfig_gui.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1548.002,attack.t1548.002
defense-evasion,proc_creation_win_uac_bypass_ntfs_reparse_point,UAC Bypass Using NTFS Reparse Point - Process,39ed3c80-e6a1-431b-9df3-911ac53d08a7,test,high,rules/proc_creation_win_uac_bypass_ntfs_reparse_point.yml,attack.defense-evasion; attack.privilege-escalation; attack.t1548.002,attack.t1548.002
defense-evasion,proc_creation_win_verclsid_runs_com,Verclsid.exe Runs COM Object,d06be4b9-8045-428b-a567-740a26d9db25,test,medium,rules/proc_creation_win_verclsid_runs_com.yml,attack.defense-evasion; attack.t1218,attack.t1218
defense-evasion,proc_creation_win_virtualbox_execution,Virtualbox Driver Installation or Starting of VMs,bab049ca-7471-4828-9024-38279a4c04da,test,low,rules/proc_creation_win_virtualbox_execution.yml,attack.defense-evasion; attack.t1564; attack.t1564.006,attack.t1564; attack.t1564.006
defense-evasion,proc_creation_win_virtualbox_vboxdrvinst_execution,Suspicious VBoxDrvInst.exe Parameters,b7b19cb6-9b32-4fc4-a108-73f19acfe262,test,medium,rules/proc_creation_win_virtualbox_vboxdrvinst_execution.yml,attack.defense-evasion; attack.t1112,attack.t1112
